structure,delta,stop_mult,tp_mult,vix_max,skip_bwd,trend_filter,t24,pnl24,pf24,dd24,t25,pnl25,pf25,dd25,pnl_is,pf_min,consistent
strangle,0.1,1.5,0.0,0.0,False,False,252,8500.53,1.61,-1059.84,250,12125.95,1.56,-4601.15,20626.480000000003,1.56,False
strangle,0.1,1.5,0.0,0.0,False,True,252,6515.24,1.56,-877.82,250,10125.99,1.63,-2436.77,16641.23,1.56,True
strangle,0.1,1.5,0.0,0.0,True,False,191,6819.19,1.7,-788.27,207,12999.69,1.87,-1658.06,19818.88,1.7,True
strangle,0.1,1.5,0.0,0.0,True,True,191,5576.1,1.58,-877.82,207,10900.46,1.86,-1513.91,16476.559999999998,1.58,True
strangle,0.1,1.5,0.0,20.0,False,False,227,5238.06,1.41,-1424.22,188,11817.18,1.91,-1527.22,17055.24,1.41,False
strangle,0.1,1.5,0.0,20.0,False,True,227,5516.42,1.53,-877.82,188,10075.98,1.89,-1368.2,15592.4,1.53,False
strangle,0.1,1.5,0.0,20.0,True,False,177,4882.49,1.53,-788.27,181,12034.78,1.99,-1527.22,16917.27,1.53,False
strangle,0.1,1.5,0.0,20.0,True,True,177,4330.83,1.49,-959.09,181,10122.9,1.93,-1368.2,14453.73,1.49,False
strangle,0.1,1.5,0.0,25.0,False,False,248,8128.36,1.6,-1059.84,230,13024.74,1.75,-2168.09,21153.1,1.6,True
strangle,0.1,1.5,0.0,25.0,False,True,248,6598.85,1.58,-877.82,230,10836.57,1.77,-1471.28,17435.42,1.58,True
strangle,0.1,1.5,0.0,25.0,True,False,191,6819.19,1.7,-788.27,204,13170.37,1.92,-1658.06,19989.56,1.7,True
strangle,0.1,1.5,0.0,25.0,True,True,191,5576.1,1.58,-877.82,204,10766.93,1.85,-1513.91,16343.03,1.58,True
strangle,0.1,1.5,0.3,0.0,False,False,252,4593.36,1.34,-1248.29,250,7175.0,1.35,-4919.2,11768.36,1.34,False
strangle,0.1,1.5,0.3,0.0,False,True,252,4353.41,1.4,-971.86,250,7109.06,1.48,-2556.71,11462.470000000001,1.4,True
strangle,0.1,1.5,0.3,0.0,True,False,191,3680.72,1.39,-936.22,207,9097.71,1.66,-1671.1,12778.429999999998,1.39,True
strangle,0.1,1.5,0.3,0.0,True,True,191,3599.91,1.4,-971.86,207,8346.34,1.73,-1539.93,11946.25,1.4,True
strangle,0.1,1.5,0.3,20.0,False,False,227,2055.42,1.16,-1892.13,188,8035.63,1.66,-1579.02,10091.05,1.16,False
strangle,0.1,1.5,0.3,20.0,False,True,227,3749.04,1.39,-971.86,188,7341.49,1.7,-1368.2,11090.529999999999,1.39,False
strangle,0.1,1.5,0.3,20.0,True,False,177,2229.71,1.25,-1357.47,181,8454.24,1.74,-1579.02,10683.95,1.25,False
strangle,0.1,1.5,0.3,20.0,True,True,177,2703.46,1.32,-1351.16,181,7505.52,1.75,-1368.2,10208.98,1.32,False
