structure,delta,stop_mult,tp_mult,vix_max,skip_bwd,trend_filter,oos_trades,oos_pnl,oos_ret_pct,oos_wr,oos_pf,oos_maxdd,oos_pnl_over_dd,oos_avg_win,oos_avg_loss,pnl_is,pf_min_is
strangle,0.2,3.0,0.0,25.0,False,False,147,28856.45,115.43,85.7,4.72,-1489.73,19.37,290.59,-369.43,64029.2,3.35
strangle,0.16,3.0,0.0,25.0,False,False,147,26239.38,104.96,85.0,4.21,-1610.93,16.29,275.35,-371.79,57884.35,3.13
strangle,0.2,3.0,0.0,25.0,True,False,132,26659.73,106.64,86.4,5.43,-1253.94,21.26,286.64,-334.29,55152.01,3.97
strangle,0.2,3.0,0.0,0.0,True,False,137,27144.16,108.58,84.7,5.16,-1253.94,21.65,290.32,-311.08,54961.89,3.97
strangle,0.2,3.0,0.3,25.0,False,False,147,24140.9,96.56,85.7,4.57,-1414.63,17.07,245.24,-321.88,50750.08,3.02
strangle,0.2,2.0,0.0,25.0,False,False,147,23531.94,94.13,81.0,3.58,-1500.56,15.68,274.38,-325.67,50741.16,2.96
strangle,0.16,3.0,0.0,25.0,True,False,132,24320.96,97.28,85.6,4.84,-1600.0,15.2,271.28,-333.35,49983.020000000004,3.66
strangle,0.16,3.0,0.0,0.0,True,False,137,24684.75,98.74,83.9,4.55,-1600.0,15.43,275.11,-316.04,49703.57,3.66
strangle,0.1,3.0,0.0,25.0,False,False,147,22446.96,89.79,83.0,3.54,-1827.53,12.28,256.5,-353.85,49061.45,2.72
strangle,0.16,3.0,0.3,25.0,False,False,147,21833.36,87.33,85.0,4.11,-1494.5,14.61,230.91,-319.57,45336.94,2.81
strangle,0.2,2.0,0.0,25.0,True,False,132,21921.96,87.69,81.1,3.91,-1500.56,14.61,275.28,-301.32,44752.45,3.19
strangle,0.16,2.0,0.0,25.0,False,False,147,22022.42,88.09,81.0,3.32,-1498.55,14.7,264.73,-338.58,44640.11,2.64
