structure,delta,stop_mult,tp_mult,vix_max,skip_bwd,trend_filter,trades24,pnl24,pf24,maxdd24,trades25,pnl25,pf25,maxdd25,worst_year_pnl,total_pnl,development_score,eligible
strangle,0.1,1.5,0.0,0.0,False,False,249,-8895.1,0.05,-8926.52,203,-13039.09,0.06,-13039.08,-13039.09,-21934.190000000002,-1.000000766925274,False
strangle,0.1,1.5,0.0,0.0,False,True,249,-5112.88,0.23,-5161.74,247,-9862.11,0.21,-9889.43,-9862.11,-14974.990000000002,-0.9972374545347912,False
strangle,0.1,1.5,0.0,0.0,True,False,188,-5493.8,0.08,-5525.21,204,-6425.15,0.14,-6461.57,-6425.15,-11918.95,-0.9943635989395766,False
strangle,0.1,1.5,0.0,0.0,True,True,188,-3348.18,0.28,-3396.97,204,-3915.69,0.35,-3942.98,-3915.69,-7263.87,-0.993078838847775,False
strangle,0.1,1.5,0.0,20.0,False,False,224,-8024.7,0.04,-8056.13,185,-5380.51,0.16,-5416.89,-8024.7,-13405.21,-0.9960986230361227,False
strangle,0.1,1.5,0.0,20.0,False,True,224,-4341.45,0.23,-4390.31,185,-3342.19,0.36,-3369.48,-4341.45,-7683.639999999999,-0.9919008274273775,False
strangle,0.1,1.5,0.0,20.0,True,False,174,-5074.15,0.07,-5105.58,178,-5012.84,0.17,-5049.23,-5074.15,-10086.99,-0.9938439903008081,False
strangle,0.1,1.5,0.0,20.0,True,True,174,-3047.18,0.27,-3095.98,178,-3216.1,0.36,-3243.4,-3216.1,-6263.28,-0.99158290682617,False
strangle,0.1,1.5,0.0,25.0,False,False,245,-8686.02,0.05,-8717.44,227,-8114.32,0.11,-8150.71,-8686.02,-16800.34,-0.9963957308567652,False
strangle,0.1,1.5,0.0,25.0,False,True,245,-4964.92,0.23,-5013.79,227,-4696.69,0.32,-4724.0,-4964.92,-9661.61,-0.9942188823031328,False
strangle,0.1,1.5,0.0,25.0,True,False,188,-5493.8,0.08,-5525.21,201,-6121.31,0.15,-6157.72,-6121.31,-11615.11,-0.9943151482025118,False
strangle,0.1,1.5,0.0,25.0,True,True,188,-3348.18,0.28,-3396.97,201,-3794.33,0.35,-3821.63,-3794.33,-7142.51,-0.9928564513048097,False
