structure,delta,stop_mult,tp_mult,vix_max,skip_bwd,trend_filter,trades24,pnl24,pf24,maxdd24,trades25,pnl25,pf25,maxdd25,worst_year_pnl,total_pnl,development_score,eligible
strangle,0.1,1.5,0.0,0.0,False,False,252,-9171.38,0.05,-9202.81,203,-12980.37,0.06,-12980.36,-12980.37,-22151.75,-1.0000007703946578,False
strangle,0.1,1.5,0.0,0.0,False,True,252,-5225.11,0.23,-5256.97,250,-9812.68,0.21,-9850.14,-9812.68,-15037.79,-0.9961970083673939,False
strangle,0.1,1.5,0.0,0.0,True,False,191,-5770.08,0.08,-5801.5,207,-6553.57,0.14,-6589.98,-6553.57,-12323.65,-0.9945841592691546,False
strangle,0.1,1.5,0.0,0.0,True,True,191,-3460.41,0.28,-3492.2,207,-3866.26,0.36,-3903.68,-3866.26,-7326.67,-0.9908968558501804,False
strangle,0.1,1.5,0.0,20.0,False,False,227,-8300.98,0.04,-8332.41,188,-5508.93,0.16,-5545.31,-8300.98,-13809.91,-0.9962279820604123,False
strangle,0.1,1.5,0.0,20.0,False,True,227,-4453.68,0.23,-4485.54,188,-3292.76,0.37,-3330.18,-4453.68,-7746.4400000000005,-0.9928971762597146,False
strangle,0.1,1.5,0.0,20.0,True,False,177,-5350.43,0.07,-5381.86,181,-5141.26,0.17,-5177.64,-5350.43,-10491.69,-0.9941600115945046,False
strangle,0.1,1.5,0.0,20.0,True,True,177,-3159.41,0.26,-3191.21,181,-3166.67,0.37,-3204.1,-3166.67,-6326.08,-0.9900351277415149,False
strangle,0.1,1.5,0.0,25.0,False,False,248,-8962.3,0.05,-8993.73,230,-8242.74,0.11,-8279.13,-8962.3,-17205.04,-0.9965053431668507,False
strangle,0.1,1.5,0.0,25.0,False,True,248,-5077.15,0.23,-5109.02,230,-4647.26,0.33,-4684.71,-5077.15,-9724.41,-0.9937620130670851,False
strangle,0.1,1.5,0.0,25.0,True,False,191,-5770.08,0.08,-5801.5,204,-6249.73,0.14,-6286.13,-6249.73,-12019.81,-0.9945841592691546,False
strangle,0.1,1.5,0.0,25.0,True,True,191,-3460.41,0.28,-3492.2,204,-3744.9,0.36,-3782.33,-3744.9,-7205.3099999999995,-0.9908968558501804,False
strangle,0.1,1.5,0.3,0.0,False,False,252,-10050.82,0.02,-10071.93,163,-13048.18,0.02,-13101.1,-13048.18,-23099.0,-0.9979040759814652,False
strangle,0.1,1.5,0.3,0.0,False,True,252,-5324.11,0.15,-5358.03,250,-10652.13,0.13,-10657.53,-10652.13,-15976.239999999998,-0.9994933159934806,False
strangle,0.1,1.5,0.3,0.0,True,False,191,-6657.86,0.02,-6678.95,207,-8278.6,0.05,-8301.18,-8278.6,-14936.46,-0.997279904784621,False
strangle,0.1,1.5,0.3,0.0,True,True,191,-3683.06,0.17,-3716.91,207,-4594.59,0.22,-4599.97,-4594.59,-8277.65,-0.9988304271549597,False
strangle,0.1,1.5,0.3,20.0,False,False,227,-8893.84,0.01,-8914.93,188,-7233.56,0.06,-7256.13,-8893.84,-16127.400000000001,-0.997634305597464,False
strangle,0.1,1.5,0.3,20.0,False,True,227,-4434.15,0.15,-4468.08,188,-4036.49,0.22,-4041.87,-4434.15,-8470.64,-0.9986689329444044,False
strangle,0.1,1.5,0.3,20.0,True,False,177,-6068.47,0.02,-6089.56,181,-6821.19,0.07,-6843.76,-6821.19,-12889.66,-0.9967021052754625,False
strangle,0.1,1.5,0.3,20.0,True,True,177,-3292.87,0.16,-3326.73,181,-3886.13,0.22,-3891.52,-3886.13,-7179.0,-0.998614937093989,False
strangle,0.1,1.5,0.3,25.0,False,False,248,-9806.89,0.02,-9827.99,230,-10125.76,0.04,-10148.33,-10125.76,-19932.65,-0.99785307066857,False
strangle,0.1,1.5,0.3,25.0,False,True,248,-5159.96,0.15,-5193.89,230,-5524.69,0.2,-5530.09,-5524.69,-10684.65,-0.999023524029446,False
strangle,0.1,1.5,0.3,25.0,True,False,191,-6657.86,0.02,-6678.95,204,-8045.08,0.06,-8067.66,-8045.08,-14702.939999999999,-0.9972011710954601,False
strangle,0.1,1.5,0.3,25.0,True,True,191,-3683.06,0.17,-3716.91,204,-4543.56,0.21,-4548.95,-4543.56,-8226.62,-0.9988151111795031,False
strangle,0.1,1.5,0.5,0.0,False,False,252,-10695.63,0.01,-10711.82,152,-13114.6,0.01,-13157.25,-13114.6,-23810.23,-0.9984885855064778,False
strangle,0.1,1.5,0.5,0.0,False,True,252,-5647.07,0.1,-5667.61,250,-10938.3,0.09,-10938.33,-10938.3,-16585.37,-0.999997257350985,False
strangle,0.1,1.5,0.5,0.0,True,False,191,-7252.92,0.01,-7269.12,207,-9050.64,0.04,-9050.73,-9050.64,-16303.56,-0.9999900560507274,False
