date,status,reason,quality,expected_bars,actual_bars,close_gap,missing_high,missing_low
2025-01-02,included,,complete_hourly,7,7,0.07,0.0,0.0
2025-01-03,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-01-06,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-01-07,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-01-08,included,,complete_hourly,7,7,0.07,0.0001,0.0
2025-01-10,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-01-13,included,,complete_hourly,7,7,0.15,0.0,0.14
2025-01-14,included,,complete_hourly,7,7,0.0,0.0,0.0
2025-01-15,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-01-16,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-01-17,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-01-21,included,,complete_hourly,7,7,0.13,0.08,0.0
2025-01-22,included,,complete_hourly,7,7,0.1,0.0,0.0
2025-01-23,included,,complete_hourly,7,7,0.04,0.01,0.0
2025-01-24,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-01-27,included,,complete_hourly,7,7,0.04,0.0,1.39
2025-01-28,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-01-29,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-01-30,included,,complete_hourly,7,7,0.07,0.0,0.0
2025-01-31,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-02-03,included,,complete_hourly,7,7,0.13,0.0,0.0
2025-02-04,included,,complete_hourly,7,7,0.025,0.0,0.0
2025-02-05,included,,complete_hourly,7,7,0.0699,0.0,0.0
2025-02-06,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-02-07,included,,complete_hourly,7,7,0.0,0.0,0.0
2025-02-10,included,,complete_hourly,7,7,0.06,0.0001,0.0
2025-02-11,included,,complete_hourly,7,7,0.1,0.0,0.0
2025-02-12,included,,complete_hourly,7,7,0.0,0.0,0.0
2025-02-13,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-02-14,included,,complete_hourly,7,7,0.0,0.02,0.0
2025-02-18,included,,complete_hourly,7,7,0.14,0.11,0.0
2025-02-19,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-02-20,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-02-21,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-02-24,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-02-25,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-02-26,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-02-27,included,,complete_hourly,7,7,0.01,0.1,0.0
2025-02-28,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-03-03,included,,complete_hourly,7,7,0.2,0.0,0.0
2025-03-04,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-03-05,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-03-06,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-03-07,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-03-10,included,,complete_hourly,7,7,0.17,0.0,0.0
2025-03-11,included,,complete_hourly,7,7,0.2,0.0,0.0
2025-03-12,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-03-13,included,,complete_hourly,7,7,0.1,0.005,0.0
2025-03-14,included,,complete_hourly,7,7,0.02,0.0,4.01
2025-03-17,included,,complete_hourly,7,7,0.13,0.0,0.0
2025-03-18,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-03-19,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-03-20,included,,complete_hourly,7,7,0.2,0.0,0.0012
2025-03-21,included,,complete_hourly,7,7,0.21,0.0,0.0
2025-03-24,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-03-25,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-03-26,included,,complete_hourly,7,7,0.16,0.0,0.0
2025-03-27,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-03-28,included,,complete_hourly,7,7,0.16,0.0025,0.0
2025-03-31,included,,complete_hourly,7,7,0.1725,0.0,0.0
2025-04-01,included,,complete_hourly,7,7,0.08,0.0,0.0
2025-04-02,included,,complete_hourly,7,7,0.14,0.0,0.19
2025-04-03,included,,complete_hourly,7,7,0.94,0.0,0.86
2025-04-04,included,,complete_hourly,7,7,0.23,0.0,0.0
2025-04-07,included,,complete_hourly,7,7,0.16,0.0,0.0
2025-04-08,included,,complete_hourly,7,7,0.26,0.03,0.0
2025-04-09,included,,complete_hourly,7,7,5.78,2.29,0.0
2025-04-10,included,,complete_hourly,7,7,0.13,0.005,0.0
2025-04-11,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-04-14,included,,complete_hourly,7,7,0.14,0.0,0.0
2025-04-15,included,,complete_hourly,7,7,0.12,0.0,0.0
2025-04-16,included,,complete_hourly,7,7,0.06,2.78,0.0
2025-04-17,included,,complete_hourly,7,7,0.02,0.005,0.0
2025-04-21,included,,complete_hourly,7,7,0.09,0.08,0.0
2025-04-22,included,,complete_hourly,7,7,0.28,0.0,0.0025
2025-04-23,included,,complete_hourly,7,7,0.04,0.03,0.0
2025-04-24,included,,complete_hourly,7,7,0.16,0.0,0.0004
2025-04-25,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-04-28,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-04-29,included,,complete_hourly,7,7,0.18,0.0,0.0
2025-04-30,included,,complete_hourly,7,7,0.19,0.0,0.0
2025-05-01,included,,complete_hourly,7,7,0.0099,0.0001,0.0
2025-05-02,included,,complete_hourly,7,7,0.14,0.0,0.21
2025-05-05,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-05-06,included,,complete_hourly,7,7,0.0,0.0024,0.015
2025-05-07,included,,complete_hourly,7,7,0.0699,0.0,0.0
2025-05-08,included,,complete_hourly,7,7,0.15,0.0,0.0
2025-05-09,included,,complete_hourly,7,7,0.06,0.0,0.0037
2025-05-12,included,,complete_hourly,7,7,0.16,0.0,0.0
2025-05-13,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-05-14,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-05-15,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-05-16,included,,complete_hourly,7,7,0.1,0.0,0.0
2025-05-19,included,,complete_hourly,7,7,0.09,0.0,0.37
2025-05-20,included,,complete_hourly,7,7,0.02,0.0,0.06
2025-05-21,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-05-22,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-05-23,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-05-27,included,,complete_hourly,7,7,0.1,0.0,0.0
2025-05-28,included,,complete_hourly,7,7,0.02,0.0012,0.0
