date,prior_data_date,structure,clock,S_open,daily_close,hourly_close,iv,exit_iv_mult,credit_haircut,gross_credit,pnl,vix_prev,vix9_prev,estimated_margin,put_strike,put_entry_delta,put_model_mid,put_credit,put_exit,put_reason,put_pnl,call_strike,call_entry_delta,call_model_mid,call_credit,call_exit,call_reason,call_pnl
2026-01-02,2025-12-31,strangle,trading,685.71,683.17,683.17,0.1495,1.5,0.85,70.61,-404.12,14.95,,13155.81,679,-0.1444,0.4807,0.3086,2.7512,stop,-245.56,692,0.1703,0.5853,0.3975,1.9701,stop,-158.56
2026-01-05,2026-01-02,strangle,trading,686.54,687.72,687.73,0.1451,1.5,0.85,63.04,-296.64,14.51,,13147.84,680,-0.1437,0.4641,0.2945,1.464,stop,-118.25,693,0.1567,0.5129,0.3359,2.1068,stop,-178.39
2026-01-06,2026-01-05,strangle,trading,688.4,691.81,692.05,0.149,1.5,0.85,70.5,-330.06,14.9,,13197.88,682,-0.1558,0.5287,0.3494,1.707,stop,-137.06,695,0.1586,0.536,0.3556,2.2726,stop,-193.0
2026-01-07,2026-01-06,strangle,trading,692.19,689.58,689.59,0.1475,1.5,0.85,69.45,-294.82,14.75,,13294.25,686,-0.1627,0.5553,0.372,1.8839,stop,-152.48,699,0.1498,0.497,0.3224,1.7328,stop,-142.34
2026-01-08,2026-01-07,strangle,trading,688.61,689.51,689.44,0.1538,1.5,0.85,79.34,-325.51,15.38,,13212.54,682,-0.1558,0.5458,0.3639,1.892,stop,-154.11,695,0.1744,0.6229,0.4295,2.1305,stop,-171.4
2026-01-09,2026-01-08,strangle,trading,690.63,694.07,693.99,0.1545,1.5,0.85,81.48,-382.59,15.45,,13257.08,684,-0.1569,0.5546,0.3714,2.0079,stop,-164.96,697,0.1769,0.6393,0.4434,2.6068,stop,-217.64
2026-01-12,2026-01-09,strangle,trading,690.68,695.16,695.16,0.1449,1.5,0.85,78.03,-349.55,14.49,,13323.63,685,-0.1784,0.6112,0.4196,1.673,stop,-126.64,697,0.1632,0.5421,0.3608,2.5769,stop,-222.91
2026-01-13,2026-01-12,strangle,trading,695.49,693.77,693.75,0.1512,1.5,0.85,77.26,-373.54,15.12,,13336.05,689,-0.1585,0.5535,0.3705,2.6533,stop,-229.58,702,0.1681,0.5907,0.4021,1.8287,stop,-143.96
2026-01-14,2026-01-13,strangle,trading,691.0,690.36,690.44,0.1598,1.5,0.85,77.37,-376.91,15.98,,13197.37,684,-0.1521,0.5522,0.3694,2.6218,stop,-226.54,698,0.1623,0.5933,0.4043,1.895,stop,-150.37
2026-01-15,2026-01-14,strangle,trading,694.57,692.24,692.17,0.1675,1.5,0.85,79.34,-306.98,16.75,,13227.74,687,-0.1458,0.5525,0.3696,2.0247,stop,-166.81,702,0.1604,0.6162,0.4238,1.8125,stop,-140.17
2026-01-16,2026-01-15,strangle,trading,693.66,691.66,691.58,0.1584,1.5,0.85,76.15,-334.18,15.84,,13283.36,687,-0.1628,0.5983,0.4085,2.3255,stop,-193.0,701,0.1494,0.5329,0.353,1.7519,stop,-141.19
2026-01-20,2026-01-16,strangle,trading,681.49,677.58,677.61,0.1586,1.5,0.85,85.08,-383.71,15.86,,13063.88,675,-0.1651,0.5987,0.4089,1.8441,stop,-144.81,688,0.1748,0.6375,0.4419,2.8179,stop,-238.9
2026-01-21,2026-01-20,strangle,trading,679.65,685.4,685.33,0.2009,1.5,0.85,104.72,-449.19,20.09,,12862.73,671,-0.1522,0.6841,0.4815,2.1647,stop,-169.62,688,0.1711,0.7833,0.5658,3.3485,stop,-279.57
2026-01-22,2026-01-21,strangle,trading,689.83,688.98,688.93,0.169,1.5,0.85,93.67,-392.19,16.9,,13207.27,683,-0.1709,0.6751,0.4739,2.7533,stop,-229.25,697,0.1697,0.6622,0.4629,2.0793,stop,-162.94
2026-01-23,2026-01-22,strangle,trading,688.15,689.23,689.18,0.1564,1.5,0.85,84.07,-336.91,15.64,,13232.07,682,-0.1769,0.6503,0.4528,2.0466,stop,-160.68,695,0.1613,0.574,0.3879,2.1372,stop,-176.23
