date,prior_data_date,structure,clock,S_open,daily_close,hourly_close,iv,exit_iv_mult,credit_haircut,gross_credit,pnl,vix_prev,vix9_prev,estimated_margin,put_strike,put_entry_delta,put_model_mid,put_credit,put_exit,put_reason,put_pnl,call_strike,call_entry_delta,call_model_mid,call_credit,call_exit,call_reason,call_pnl
2026-01-02,2025-12-31,strangle,calendar,685.71,683.17,683.17,0.1495,1.5,0.85,14.78,-336.42,14.95,12.0,13457.98,683,-0.1637,0.2423,0.106,2.5593,stop,-246.63,689,0.1214,0.1669,0.0418,0.9267,stop,-89.79
2026-01-05,2026-01-02,strangle,calendar,686.54,687.72,687.73,0.1451,1.5,0.85,24.57,-212.69,14.51,11.72,13509.37,684,-0.1723,0.2512,0.1135,0.7985,stop,-69.79,689,0.1847,0.2732,0.1322,1.5482,stop,-142.9
2026-01-06,2026-01-05,strangle,calendar,688.4,691.81,692.05,0.149,1.5,0.85,28.23,-245.3,14.9,12.44,13556.22,686,-0.1928,0.2982,0.1535,1.0224,stop,-88.19,691,0.1784,0.2691,0.1288,1.6868,stop,-157.1
2026-01-07,2026-01-06,strangle,calendar,692.19,689.58,689.59,0.1475,1.5,0.85,14.12,-178.61,14.75,12.13,13576.92,689,-0.1237,0.1706,0.045,0.9119,stop,-87.98,695,0.1584,0.2308,0.0962,0.9894,stop,-90.62
2026-01-08,2026-01-07,strangle,calendar,688.61,689.51,689.44,0.1538,1.5,0.85,18.82,-203.5,15.38,12.54,13530.02,686,-0.1805,0.2832,0.1407,1.1731,stop,-104.54,692,0.122,0.1735,0.0474,1.0241,stop,-98.96
2026-01-09,2026-01-08,strangle,calendar,690.63,694.07,693.99,0.1545,1.5,0.85,19.57,-267.54,15.45,12.83,13569.17,688,-0.1805,0.2852,0.1425,1.3021,stop,-117.26,694,0.1252,0.1803,0.0533,1.5431,stop,-150.28
2026-01-12,2026-01-09,strangle,calendar,690.68,695.16,695.16,0.1449,1.5,0.85,25.42,-274.36,14.49,10.86,13607.01,688,-0.1605,0.2309,0.0963,0.7363,stop,-65.3,693,0.1998,0.3034,0.1579,2.2355,stop,-209.07
2026-01-13,2026-01-12,strangle,calendar,695.49,693.77,693.75,0.1512,1.5,0.85,31.4,-303.79,15.12,11.94,13691.82,693,-0.19,0.3001,0.1551,2.2919,stop,-214.98,698,0.1928,0.3046,0.1589,1.034,stop,-88.81
2026-01-14,2026-01-13,strangle,calendar,691.0,690.36,690.44,0.1598,1.5,0.85,22.82,-284.02,15.98,12.51,13542.82,688,-0.1571,0.248,0.1108,2.0487,stop,-195.09,694,0.1615,0.2557,0.1174,0.9937,stop,-88.93
2026-01-15,2026-01-14,strangle,calendar,694.57,692.24,692.17,0.1675,1.5,0.85,16.69,-174.89,16.75,13.18,13565.09,691,-0.1279,0.2027,0.0723,1.0917,stop,-103.24,698,0.1417,0.2289,0.0946,0.7982,stop,-71.66
2026-01-16,2026-01-15,strangle,calendar,693.66,691.66,691.58,0.1584,1.5,0.85,22.93,-228.61,15.84,12.32,13630.13,691,-0.1847,0.3026,0.1572,1.6394,stop,-149.52,697,0.1343,0.2025,0.0721,0.85,stop,-79.1
2026-01-20,2026-01-16,strangle,calendar,681.49,677.58,677.61,0.1586,1.5,0.85,35.13,-302.45,15.86,12.09,13415.54,679,-0.1965,0.322,0.1737,1.0608,stop,-90.01,684,0.1993,0.3266,0.1776,2.289,stop,-212.44
2026-01-21,2026-01-20,strangle,calendar,679.65,685.4,685.33,0.2009,1.5,0.85,39.03,-333.54,20.09,19.93,13297.03,676,-0.161,0.3163,0.1688,1.1385,stop,-98.27,683,0.1862,0.3781,0.2214,2.5611,stop,-235.27
2026-01-22,2026-01-21,strangle,calendar,689.83,688.98,688.93,0.169,1.5,0.85,30.09,-281.82,16.9,15.88,13543.69,687,-0.1841,0.3197,0.1718,2.0255,stop,-186.67,693,0.1613,0.2695,0.1291,1.0676,stop,-95.15
2026-01-23,2026-01-22,strangle,calendar,688.15,689.23,689.18,0.1564,1.5,0.85,19.9,-215.01,15.64,14.38,13497.91,685,-0.1392,0.208,0.0768,0.9727,stop,-90.89,691,0.1677,0.2614,0.1222,1.3504,stop,-124.12
2026-01-26,2026-01-23,strangle,calendar,690.49,692.73,692.71,0.1609,1.5,0.85,11.54,-235.74,16.09,15.0,13471.98,687,-0.1224,0.1834,0.0559,0.8052,stop,-76.23,694,0.1251,0.1876,0.0595,1.6416,stop,-159.51
2026-01-27,2026-01-26,strangle,calendar,694.18,695.49,695.54,0.1615,1.5,0.85,24.99,-196.81,16.15,15.05,13626.58,691,-0.1467,0.2313,0.0966,0.9144,stop,-83.08,697,0.1802,0.298,0.1533,1.2776,stop,-113.74
