date,status,reason,quality,expected_bars,actual_bars,close_gap,missing_high,missing_low
2026-01-02,included,,complete_hourly,7,7,0.0,0.0,0.0
2026-01-05,included,,complete_hourly,7,7,0.01,0.0,0.0
2026-01-06,included,,complete_hourly,7,7,0.24,0.005,0.0
2026-01-07,included,,complete_hourly,7,7,0.01,0.0,0.0
2026-01-08,included,,complete_hourly,7,7,0.07,0.005,0.0
2026-01-09,included,,complete_hourly,7,7,0.08,0.0,0.0
2026-01-12,included,,complete_hourly,7,7,0.0,0.0,0.0
2026-01-13,included,,complete_hourly,7,7,0.02,0.0,0.0
2026-01-14,included,,complete_hourly,7,7,0.08,0.0,0.0
2026-01-15,included,,complete_hourly,7,7,0.07,0.0,0.0
2026-01-16,included,,complete_hourly,7,7,0.08,0.0,0.0
2026-01-20,included,,complete_hourly,7,7,0.03,0.21,0.0
2026-01-21,included,,complete_hourly,7,7,0.07,0.005,0.0
2026-01-22,included,,complete_hourly,7,7,0.05,0.005,0.0
2026-01-23,included,,complete_hourly,7,7,0.05,0.0,0.0
2026-01-26,included,,complete_hourly,7,7,0.02,0.0,0.0
2026-01-27,included,,complete_hourly,7,7,0.05,0.0,0.0
2026-01-28,included,,complete_hourly,7,7,0.01,0.0,0.0
2026-01-29,included,,complete_hourly,7,7,0.07,0.0,0.0
2026-01-30,excluded,incomplete_session,,7,1,,,
2026-02-02,excluded,incomplete_session,,7,3,,,
2026-02-03,included,,complete_hourly,7,7,0.07,0.0,0.0
2026-02-04,included,,complete_hourly,7,7,0.07,0.0,0.0
2026-02-05,included,,complete_hourly,7,7,0.18,0.0,0.0
2026-02-06,included,,complete_hourly,7,7,0.02,0.0,0.0
2026-02-09,included,,complete_hourly,7,7,0.04,0.0,0.0
2026-02-10,included,,complete_hourly,7,7,0.03,0.0,0.0
2026-02-11,included,,complete_hourly,7,7,0.04,0.01,0.0
2026-02-12,included,,complete_hourly,7,7,0.05,0.0,0.0
2026-02-13,included,,complete_hourly,7,7,0.15,0.0,0.0
2026-02-17,included,,complete_hourly,7,7,0.1,0.0,0.0
2026-02-18,included,,complete_hourly,7,7,0.1,0.0,0.0
2026-02-19,included,,complete_hourly,7,7,0.03,0.0,0.0
2026-02-20,included,,complete_hourly,7,7,0.08,0.0,0.01
2026-02-23,included,,complete_hourly,7,7,0.02,0.0,0.001
2026-02-24,included,,complete_hourly,7,7,0.025,0.0,0.0
2026-02-25,included,,complete_hourly,7,7,0.05,0.0,0.0701
2026-02-26,included,,complete_hourly,7,7,0.02,0.0,0.0
2026-02-27,included,,complete_hourly,7,7,0.29,0.01,0.0
2026-03-02,included,,complete_hourly,7,7,0.01,0.0,0.0
2026-03-03,included,,complete_hourly,7,7,0.05,0.0,0.0
2026-03-04,included,,complete_hourly,7,7,0.03,0.0,0.0
2026-03-05,included,,complete_hourly,7,7,0.13,0.0,0.0
2026-03-06,included,,complete_hourly,7,7,0.095,0.0,0.0
2026-03-09,included,,complete_hourly,7,7,0.046,0.0,0.0
2026-03-10,included,,complete_hourly,7,7,0.13,0.0,0.0
2026-03-11,included,,complete_hourly,7,7,0.0,0.0,0.0
2026-03-12,included,,complete_hourly,7,7,0.02,0.0,0.035
2026-03-13,included,,complete_hourly,7,7,0.01,0.005,0.0
2026-03-16,included,,complete_hourly,7,7,0.07,0.0,0.0
2026-03-17,included,,complete_hourly,7,7,0.06,0.01,0.0
2026-03-18,included,,complete_hourly,7,7,0.14,0.0,0.0
2026-03-19,included,,complete_hourly,7,7,0.08,0.0,0.0
2026-03-20,included,,complete_hourly,7,7,0.06,0.0,0.0
2026-03-23,included,,complete_hourly,7,7,0.01,0.005,0.0
2026-03-24,included,,complete_hourly,7,7,0.02,0.0,0.0
2026-03-25,included,,complete_hourly,7,7,0.08,0.0,0.0
2026-03-26,included,,complete_hourly,7,7,0.015,0.0,0.0
2026-03-27,included,,complete_hourly,7,7,0.01,0.0,0.0
2026-03-30,included,,complete_hourly,7,7,0.03,0.0,0.0
2026-03-31,included,,complete_hourly,7,7,0.1,0.0,0.0
2026-04-01,included,,complete_hourly,7,7,0.06,0.0,0.0
2026-04-02,included,,complete_hourly,7,7,0.05,0.0,0.0
2026-04-06,included,,complete_hourly,7,7,0.06,0.0,0.0
2026-04-07,included,,complete_hourly,7,7,0.04,0.01,0.0
2026-04-08,included,,complete_hourly,7,7,0.13,0.0,0.0
2026-04-09,included,,complete_hourly,7,7,0.04,0.0,0.0
2026-04-10,included,,complete_hourly,7,7,0.12,0.0,0.0
2026-04-13,included,,complete_hourly,7,7,0.09,0.0,0.0
2026-04-14,included,,complete_hourly,7,7,0.065,0.0,0.0
2026-04-15,included,,complete_hourly,7,7,0.1,0.0,0.0
2026-04-16,included,,complete_hourly,7,7,0.11,0.0,0.0
2026-04-17,included,,complete_hourly,7,7,0.09,0.0,0.0
2026-04-20,included,,complete_hourly,7,7,0.03,0.0,0.0
2026-04-21,included,,complete_hourly,7,7,0.06,0.005,0.0
2026-04-22,included,,complete_hourly,7,7,0.0,0.0,0.0
2026-04-23,included,,complete_hourly,7,7,0.01,0.0002,0.0002
2026-04-24,included,,complete_hourly,7,7,0.04,0.0,0.0
2026-04-27,included,,complete_hourly,7,7,0.01,0.0,0.0
2026-04-28,included,,complete_hourly,7,7,0.01,0.0,0.0
2026-04-29,included,,complete_hourly,7,7,0.0,0.09,0.0
2026-04-30,included,,complete_hourly,7,7,0.27,0.0,0.0
2026-05-01,included,,complete_hourly,7,7,0.02,0.0,0.0
2026-05-04,included,,complete_hourly,7,7,0.06,0.0,0.01
2026-05-05,included,,complete_hourly,7,7,0.03,0.0,0.005
2026-05-06,included,,complete_hourly,7,7,0.06,0.0,0.0
2026-05-07,included,,complete_hourly,7,7,0.02,0.0,0.0
2026-05-08,included,,complete_hourly,7,7,0.09,0.0,0.01
2026-05-11,included,,complete_hourly,7,7,0.1,0.0,0.0
2026-05-12,included,,complete_hourly,7,7,0.02,0.0,0.0
2026-05-13,included,,complete_hourly,7,7,0.005,0.0,0.0
2026-05-14,included,,complete_hourly,7,7,0.09,0.0,0.0
2026-05-15,included,,complete_hourly,7,7,0.09,0.0,0.0
2026-05-18,included,,complete_hourly,7,7,0.09,0.005,0.0
2026-05-19,included,,complete_hourly,7,7,0.06,0.0,0.0
2026-05-20,included,,complete_hourly,7,7,0.0,0.0,0.0
2026-05-21,included,,complete_hourly,7,7,0.03,0.0,0.0
2026-05-22,included,,complete_hourly,7,7,0.05,0.0,0.0
2026-05-26,included,,complete_hourly,7,7,0.1201,0.0,0.0
2026-05-27,included,,complete_hourly,7,7,0.0099,0.0,0.0
2026-05-28,included,,complete_hourly,7,7,0.04,0.0,0.0
2026-05-29,included,,complete_hourly,7,7,0.08,0.0,0.0
2026-06-01,included,,complete_hourly,7,7,0.1,0.01,0.0
2026-06-02,included,,complete_hourly,7,7,0.1,0.0,0.0
2026-06-03,included,,complete_hourly,7,7,0.05,0.0,0.0
2026-06-04,included,,complete_hourly,7,7,0.04,0.0,0.0
2026-06-05,included,,complete_hourly,7,7,0.15,0.0,0.0
2026-06-08,included,,complete_hourly,7,7,0.09,0.0,0.0
