date,prior_data_date,structure,clock,S_open,daily_close,hourly_close,iv,exit_iv_mult,credit_haircut,gross_credit,pnl,vix_prev,vix9_prev,estimated_margin,put_strike,put_entry_delta,put_model_mid,put_credit,put_exit,put_reason,put_pnl,call_strike,call_entry_delta,call_model_mid,call_credit,call_exit,call_reason,call_pnl
2026-01-02,2025-12-31,strangle,calendar,685.71,683.17,683.17,0.1495,1.0,1.0,34.92,-205.13,14.95,12.0,13478.12,683,-0.1637,0.2423,0.2123,1.9803,stop,-178.1,689,0.1214,0.1669,0.1369,0.3942,stop,-27.03
2026-01-05,2026-01-02,strangle,calendar,686.54,687.72,687.73,0.1451,1.0,1.0,46.44,-64.08,14.51,11.72,13531.24,684,-0.1723,0.2512,0.2212,0.1406,tp,6.76,689,0.1847,0.2732,0.2432,0.9386,stop,-70.84
2026-01-06,2026-01-05,strangle,calendar,688.4,691.81,692.05,0.149,1.0,1.0,50.74,-74.1,14.9,12.44,13578.73,686,-0.1928,0.2982,0.2682,0.1641,tp,9.11,691,0.1784,0.2691,0.2391,1.0583,stop,-83.21
2026-01-07,2026-01-06,strangle,calendar,692.19,689.58,689.59,0.1475,1.0,1.0,34.14,-51.26,14.75,12.13,13596.94,689,-0.1237,0.1706,0.1406,0.3858,stop,-25.82,695,0.1584,0.2308,0.2008,0.4423,stop,-25.45
2026-01-08,2026-01-07,strangle,calendar,688.61,689.51,689.44,0.1538,1.0,1.0,39.67,-66.7,15.38,12.54,13550.87,686,-0.1805,0.2832,0.2532,0.5791,stop,-33.89,692,0.122,0.1735,0.1435,0.4585,stop,-32.81
2026-01-09,2026-01-08,strangle,calendar,690.63,694.07,693.99,0.1545,1.0,1.0,40.56,-120.64,15.45,12.83,13590.16,688,-0.1805,0.2852,0.2552,0.6858,stop,-44.35,694,0.1252,0.1803,0.1503,0.9002,stop,-76.29
2026-01-12,2026-01-09,strangle,calendar,690.68,695.16,695.16,0.1449,1.0,1.0,47.43,-132.17,14.49,10.86,13629.03,688,-0.1605,0.2309,0.2009,0.1305,tp,5.75,693,0.1998,0.3034,0.2734,1.6395,stop,-137.91
2026-01-13,2026-01-12,strangle,calendar,695.49,693.77,693.75,0.1512,1.0,1.0,54.47,-131.99,15.12,11.94,13715.27,693,-0.19,0.3001,0.2701,1.6713,stop,-141.42,698,0.1928,0.3046,0.2746,0.1673,tp,9.43
2026-01-14,2026-01-13,strangle,calendar,691.0,690.36,690.44,0.1598,1.0,1.0,44.37,-110.87,15.98,12.51,13564.37,688,-0.1571,0.248,0.218,1.3835,stop,-117.85,694,0.1615,0.2557,0.2257,0.1429,tp,6.99
2026-01-15,2026-01-14,strangle,calendar,694.57,692.24,692.17,0.1675,1.0,1.0,37.17,-26.89,16.75,13.18,13585.57,691,-0.1279,0.2027,0.1727,0.4851,stop,-32.53,698,0.1417,0.2289,0.1989,0.1295,tp,5.65
