date,prior_data_date,structure,clock,S_open,daily_close,hourly_close,iv,exit_iv_mult,credit_haircut,gross_credit,pnl,vix_prev,vix9_prev,estimated_margin,put_strike,put_entry_delta,put_model_mid,put_credit,put_exit,put_reason,put_pnl,call_strike,call_entry_delta,call_model_mid,call_credit,call_exit,call_reason,call_pnl
2026-01-02,2025-12-31,strangle,trading,685.71,683.17,683.17,0.1495,1.0,1.0,100.6,-80.21,14.95,12.0,13185.8,679,-0.1444,0.4807,0.4507,1.4744,stop,-103.68,692,0.1703,0.5853,0.5553,0.3077,tp,23.47
2026-01-05,2026-01-02,strangle,trading,686.54,687.72,687.73,0.1451,1.0,1.0,91.7,37.25,14.51,11.72,13176.49,680,-0.1437,0.4641,0.4341,0.247,tp,17.4,693,0.1567,0.5129,0.4829,0.2714,tp,19.84
2026-01-06,2026-01-05,strangle,trading,688.4,691.81,692.05,0.149,1.0,1.0,100.47,-36.82,14.9,12.44,13228.47,682,-0.1558,0.5287,0.4987,0.2793,tp,20.63,695,0.1586,0.536,0.506,1.0675,stop,-57.45
2026-01-07,2026-01-06,strangle,trading,692.19,689.58,689.59,0.1475,1.0,1.0,99.23,41.02,14.75,12.13,13324.03,686,-0.1627,0.5553,0.5253,0.2927,tp,21.97,699,0.1498,0.497,0.467,0.2635,tp,19.05
2026-01-08,2026-01-07,strangle,trading,688.61,689.51,689.44,0.1538,1.0,1.0,110.87,46.83,15.38,12.54,13244.07,682,-0.1558,0.5458,0.5158,0.2879,tp,21.49,695,0.1744,0.6229,0.5929,0.3265,tp,25.35
2026-01-09,2026-01-08,strangle,trading,690.63,694.07,693.99,0.1545,1.0,1.0,113.39,-49.19,15.45,12.83,13288.99,684,-0.1569,0.5546,0.5246,0.2923,tp,21.93,697,0.1769,0.6393,0.6093,1.3075,stop,-71.12
2026-01-12,2026-01-09,strangle,trading,690.68,695.16,695.16,0.1449,1.0,1.0,109.33,-58.61,14.49,10.86,13354.93,685,-0.1784,0.6112,0.5812,0.3206,tp,24.76,697,0.1632,0.5421,0.5121,1.3328,stop,-83.37
2026-01-13,2026-01-12,strangle,trading,695.49,693.77,693.75,0.1512,1.0,1.0,108.42,-62.1,15.12,11.94,13367.22,689,-0.1585,0.5535,0.5235,1.3688,stop,-85.83,702,0.1681,0.5907,0.5607,0.3104,tp,23.74
2026-01-14,2026-01-13,strangle,trading,691.0,690.36,690.44,0.1598,1.0,1.0,108.55,-55.6,15.98,12.51,13228.55,684,-0.1521,0.5522,0.5222,1.3039,stop,-79.47,698,0.1623,0.5933,0.5633,0.3117,tp,23.87
2026-01-15,2026-01-14,strangle,trading,694.57,692.24,692.17,0.1675,1.0,1.0,110.87,46.84,16.75,13.18,13259.28,687,-0.1458,0.5525,0.5225,0.2912,tp,21.82,702,0.1604,0.6162,0.5862,0.3231,tp,25.01
