date,prior_data_date,structure,clock,S_open,daily_close,hourly_close,iv,exit_iv_mult,credit_haircut,gross_credit,pnl,vix_prev,vix9_prev,estimated_margin,put_strike,put_entry_delta,put_model_mid,put_credit,put_exit,put_reason,put_pnl,call_strike,call_entry_delta,call_model_mid,call_credit,call_exit,call_reason,call_pnl
2026-01-02,2025-12-31,strangle,trading,685.71,683.17,683.17,0.1495,1.5,0.85,100.66,-447.22,14.95,12.0,13285.86,680,-0.1829,0.6461,0.4492,3.1652,stop,-272.9,691,0.212,0.7734,0.5574,2.2876,stop,-174.32
2026-01-05,2026-01-02,strangle,trading,686.54,687.72,687.73,0.1451,1.5,0.85,91.9,-328.39,14.51,11.72,13276.7,681,-0.1832,0.6293,0.4349,1.729,stop,-130.71,692,0.1977,0.6872,0.4841,2.4479,stop,-197.68
2026-01-06,2026-01-05,strangle,trading,688.4,691.81,692.05,0.149,1.5,0.85,100.55,-364.44,14.9,12.44,13328.55,683,-0.1961,0.7066,0.5006,1.9988,stop,-151.12,694,0.1986,0.7117,0.5049,2.6251,stop,-213.32
2026-01-07,2026-01-06,strangle,trading,692.19,689.58,689.59,0.1475,1.5,0.85,99.36,-325.36,14.75,12.13,13424.16,687,-0.2042,0.7408,0.5297,2.1995,stop,-168.28,698,0.1886,0.6634,0.4639,2.0217,stop,-157.08
2026-01-08,2026-01-07,strangle,trading,688.61,689.51,689.44,0.1538,1.5,0.85,110.7,-357.77,15.38,12.54,13343.9,683,-0.1947,0.723,0.5146,2.2,stop,-169.84,694,0.2152,0.8146,0.5924,2.4587,stop,-187.93
2026-01-09,2026-01-08,strangle,trading,690.63,694.07,693.99,0.1545,1.5,0.85,113.15,-420.74,15.45,12.83,13388.75,685,-0.1956,0.7329,0.5229,2.3282,stop,-181.83,696,0.2178,0.8336,0.6085,2.9846,stop,-238.91
2026-01-12,2026-01-09,strangle,trading,690.68,695.16,695.16,0.1449,1.5,0.85,93.43,-373.43,14.49,10.86,13375.03,685,-0.1784,0.6112,0.4196,1.673,stop,-126.64,696,0.205,0.7233,0.5148,2.9697,stop,-246.79
2026-01-13,2026-01-12,strangle,trading,695.49,693.77,693.75,0.1512,1.5,0.85,108.32,-411.52,15.12,11.94,13467.12,690,-0.1981,0.7338,0.5237,3.0495,stop,-253.88,701,0.2084,0.7759,0.5595,2.1229,stop,-157.64
2026-01-14,2026-01-13,strangle,trading,691.0,690.36,690.44,0.1598,1.5,0.85,107.16,-414.15,15.98,12.51,13327.16,685,-0.1888,0.7248,0.5161,3.0013,stop,-249.83,697,0.1997,0.7712,0.5555,2.1857,stop,-164.32
2026-01-15,2026-01-14,strangle,trading,694.57,692.24,692.17,0.1675,1.5,0.85,125.35,-351.57,16.75,13.18,13459.75,689,-0.218,0.9189,0.681,2.6613,stop,-199.32,701,0.1956,0.7911,0.5725,2.082,stop,-152.25
2026-01-16,2026-01-15,strangle,trading,693.66,691.66,691.58,0.1584,1.5,0.85,105.79,-366.93,15.84,12.32,13412.99,688,-0.2012,0.7825,0.5651,2.6747,stop,-212.26,700,0.1852,0.6973,0.4927,2.0265,stop,-154.68
2026-01-20,2026-01-16,strangle,trading,681.49,677.58,677.61,0.1586,1.5,0.85,117.26,-420.79,15.86,12.09,13196.06,676,-0.2045,0.7857,0.5679,2.1414,stop,-158.65,687,0.2148,0.8291,0.6047,3.2131,stop,-262.14
2026-01-21,2026-01-20,strangle,trading,679.65,685.4,685.33,0.2009,1.5,0.85,151.78,-498.64,20.09,19.93,13079.78,673,-0.2142,1.0549,0.7967,2.7542,stop,-197.06,687,0.2019,0.9661,0.7212,3.724,stop,-301.58
2026-01-22,2026-01-21,strangle,trading,689.83,688.98,688.93,0.169,1.5,0.85,125.68,-427.84,16.9,15.88,13339.28,684,-0.2081,0.8671,0.6371,3.131,stop,-250.69,696,0.2059,0.8468,0.6197,2.3783,stop,-177.15
2026-01-23,2026-01-22,strangle,trading,688.15,689.23,689.18,0.1564,1.5,0.85,116.13,-369.59,15.64,14.38,13364.13,683,-0.2181,0.8501,0.6226,2.3692,stop,-175.96,694,0.1996,0.7515,0.5387,2.462,stop,-193.63
2026-01-26,2026-01-23,strangle,trading,690.49,692.73,692.71,0.1609,1.5,0.85,109.8,-395.38,16.09,15.0,13370.6,685,-0.2108,0.84,0.614,2.2388,stop,-163.78,697,0.1815,0.6871,0.484,2.787,stop,-231.6
2026-01-27,2026-01-26,strangle,trading,694.18,695.49,695.54,0.1615,1.5,0.85,112.35,-346.44,16.15,15.05,13413.95,688,-0.1854,0.7192,0.5113,2.0712,stop,-157.29,700,0.2105,0.8379,0.6122,2.4907,stop,-189.16
2026-01-28,2026-01-27,strangle,trading,697.05,695.42,695.43,0.1635,1.5,0.85,117.75,-348.88,16.35,14.85,13463.75,691,-0.1942,0.7759,0.5595,2.2972,stop,-175.06,703,0.2092,0.8447,0.618,2.3431,stop,-173.81
2026-01-29,2026-01-28,strangle,trading,696.39,694.04,693.97,0.1635,1.5,0.85,101.08,-601.86,16.35,14.54,13389.88,690,-0.1812,0.7094,0.5029,4.9015,stop,-441.16,703,0.1837,0.7152,0.5079,2.1019,stop,-160.7
2026-02-03,2026-02-02,strangle,trading,696.21,689.53,689.46,0.1634,1.5,0.85,117.34,-515.49,16.34,14.45,13462.54,690,-0.1877,0.7414,0.5302,3.9282,stop,-341.1,702,0.2151,0.8744,0.6432,2.3741,stop,-174.38
2026-02-04,2026-02-03,strangle,trading,690.35,686.19,686.12,0.18,1.5,0.85,131.62,-485.1,18.0,17.07,13303.62,684,-0.2031,0.8963,0.6619,3.5702,stop,-292.13,697,0.2033,0.8874,0.6543,2.5709,stop,-192.97
2026-02-09,2026-02-06,strangle,trading,689.42,693.95,693.91,0.1776,1.5,0.85,126.11,-465.14,17.76,15.43,13272.51,683,-0.1972,0.85,0.6225,2.4814,stop,-187.19,696,0.2023,0.8689,0.6386,3.405,stop,-277.94
2026-02-10,2026-02-09,strangle,trading,694.95,692.12,692.09,0.1736,1.5,0.85,121.48,-397.07,17.36,14.75,13425.47,689,-0.2113,0.9152,0.678,2.7138,stop,-204.88,702,0.1821,0.7492,0.5368,2.4457,stop,-192.19
2026-02-11,2026-02-10,strangle,trading,696.39,691.96,691.92,0.1779,1.5,0.85,130.47,-628.55,17.79,14.94,13419.26,690,-0.201,0.8814,0.6492,5.1052,stop,-446.9,703,0.204,0.8888,0.6554,2.459,stop,-181.65
2026-02-12,2026-02-11,strangle,trading,694.24,681.27,681.22,0.1765,1.5,0.85,126.5,-412.21,17.65,14.18,13387.3,688,-0.2039,0.8882,0.655,2.8804,stop,-223.84,701,0.196,0.8353,0.61,2.4807,stop,-188.37
2026-02-13,2026-02-12,strangle,trading,681.72,681.75,681.6,0.2082,1.5,0.85,150.76,-547.44,20.82,19.8,13057.16,674,-0.1885,0.9313,0.6916,3.7984,stop,-311.98,689,0.2133,1.0776,0.816,3.1576,stop,-235.46
2026-02-17,2026-02-13,strangle,trading,680.14,682.85,682.75,0.206,1.5,0.85,145.33,-565.55,20.6,18.77,13034.13,673,-0.2037,1.0153,0.763,3.8349,stop,-308.5,688,0.192,0.9298,0.6903,3.2479,stop,-257.05
2026-02-19,2026-02-18,strangle,trading,683.84,684.48,684.51,0.1962,1.5,0.85,144.34,-458.42,19.62,19.08,13137.13,677,-0.2037,0.9715,0.7258,2.8333,stop,-212.05,691,0.2039,0.9618,0.7175,3.1683,stop,-246.37
2026-03-06,2026-03-05,strangle,trading,673.41,672.38,672.47,0.2375,1.5,0.85,170.52,-541.05,23.75,23.55,12797.73,665,-0.1963,1.106,0.8401,3.9659,stop,-313.88,682,0.2026,1.1355,0.8651,3.1238,stop,-227.17
2026-03-27,2026-03-26,strangle,trading,642.5,634.09,634.08,0.2744,1.5,0.85,185.65,-555.47,27.44,27.05,12085.65,633,-0.1903,1.173,0.897,4.2282,stop,-334.42,652,0.2021,1.2464,0.9594,3.157,stop,-221.05
