date,prior_data_date,structure,clock,S_open,daily_close,hourly_close,iv,exit_iv_mult,credit_haircut,gross_credit,pnl,vix_prev,vix9_prev,estimated_margin,put_strike,put_entry_delta,put_model_mid,put_credit,put_exit,put_reason,put_pnl,call_strike,call_entry_delta,call_model_mid,call_credit,call_exit,call_reason,call_pnl
2026-01-02,2025-12-31,strangle,trading,685.71,683.17,683.17,0.1495,1.0,1.0,135.95,-81.31,14.95,12.0,13321.15,680,-0.1829,0.6461,0.6161,2.1466,stop,-154.35,691,0.212,0.7734,0.7434,0.0,cash_settle_proxy,73.04
2026-01-05,2026-01-02,strangle,trading,686.54,687.72,687.73,0.1451,1.0,1.0,125.65,123.05,14.51,11.72,13310.44,681,-0.1832,0.6293,0.5993,0.0,cash_settle_proxy,58.63,692,0.1977,0.6872,0.6572,0.0,cash_settle_proxy,64.42
2026-01-06,2026-01-05,strangle,trading,688.4,691.81,692.05,0.149,1.0,1.0,135.83,133.23,14.9,12.44,13363.82,683,-0.1961,0.7066,0.6766,0.0,cash_settle_proxy,66.36,694,0.1986,0.7117,0.6817,0.0,cash_settle_proxy,66.87
2026-01-07,2026-01-06,strangle,trading,692.19,689.58,689.59,0.1475,1.0,1.0,134.42,131.82,14.75,12.13,13459.22,687,-0.2042,0.7408,0.7108,0.0,cash_settle_proxy,69.78,698,0.1886,0.6634,0.6334,0.0,cash_settle_proxy,62.04
2026-01-08,2026-01-07,strangle,trading,688.61,689.51,689.44,0.1538,1.0,1.0,147.76,145.16,15.38,12.54,13380.96,683,-0.1947,0.723,0.693,0.0,cash_settle_proxy,68.0,694,0.2152,0.8146,0.7846,0.0,cash_settle_proxy,77.16
2026-01-09,2026-01-08,strangle,trading,690.63,694.07,693.99,0.1545,1.0,1.0,150.64,148.04,15.45,12.83,13426.24,685,-0.1956,0.7329,0.7029,0.0,cash_settle_proxy,68.99,696,0.2178,0.8336,0.8036,0.0,cash_settle_proxy,79.06
2026-01-12,2026-01-09,strangle,trading,690.68,695.16,695.16,0.1449,1.0,1.0,127.45,124.85,14.49,10.86,13409.05,685,-0.1784,0.6112,0.5812,0.0,cash_settle_proxy,56.82,696,0.205,0.7233,0.6933,0.0,cash_settle_proxy,68.03
2026-01-13,2026-01-12,strangle,trading,695.49,693.77,693.75,0.1512,1.0,1.0,144.97,142.37,15.12,11.94,13503.77,690,-0.1981,0.7338,0.7038,0.0,cash_settle_proxy,69.08,701,0.2084,0.7759,0.7459,0.0,cash_settle_proxy,73.29
2026-01-14,2026-01-13,strangle,trading,691.0,690.36,690.44,0.1598,1.0,1.0,143.6,141.0,15.98,12.51,13363.6,685,-0.1888,0.7248,0.6948,0.0,cash_settle_proxy,68.18,697,0.1997,0.7712,0.7412,0.0,cash_settle_proxy,72.82
2026-01-15,2026-01-14,strangle,trading,694.57,692.24,692.17,0.1675,1.0,1.0,165.0,162.4,16.75,13.18,13499.4,689,-0.218,0.9189,0.8889,0.0,cash_settle_proxy,87.59,701,0.1956,0.7911,0.7611,0.0,cash_settle_proxy,74.81
2026-01-16,2026-01-15,strangle,trading,693.66,691.66,691.58,0.1584,1.0,1.0,141.98,139.38,15.84,12.32,13449.19,688,-0.2012,0.7825,0.7525,0.0,cash_settle_proxy,73.95,700,0.1852,0.6973,0.6673,0.0,cash_settle_proxy,65.43
2026-01-20,2026-01-16,strangle,trading,681.49,677.58,677.61,0.1586,1.0,1.0,155.48,152.88,15.86,12.09,13234.28,676,-0.2045,0.7857,0.7557,0.0,cash_settle_proxy,74.27,687,0.2148,0.8291,0.7991,0.0,cash_settle_proxy,78.61
2026-01-21,2026-01-20,strangle,trading,679.65,685.4,685.33,0.2009,1.0,1.0,196.1,193.5,20.09,19.93,13124.1,673,-0.2142,1.0549,1.0249,0.0,cash_settle_proxy,101.19,687,0.2019,0.9661,0.9361,0.0,cash_settle_proxy,92.31
2026-01-22,2026-01-21,strangle,trading,689.83,688.98,688.93,0.169,1.0,1.0,165.39,162.79,16.9,15.88,13378.99,684,-0.2081,0.8671,0.8371,0.0,cash_settle_proxy,82.41,696,0.2059,0.8468,0.8168,0.0,cash_settle_proxy,80.38
2026-01-23,2026-01-22,strangle,trading,688.15,689.23,689.18,0.1564,1.0,1.0,154.16,151.56,15.64,14.38,13402.15,683,-0.2181,0.8501,0.8201,0.0,cash_settle_proxy,80.71,694,0.1996,0.7515,0.7215,0.0,cash_settle_proxy,70.85
2026-01-26,2026-01-23,strangle,trading,690.49,692.73,692.71,0.1609,1.0,1.0,146.71,144.11,16.09,15.0,13407.51,685,-0.2108,0.84,0.81,0.0,cash_settle_proxy,79.7,697,0.1815,0.6871,0.6571,0.0,cash_settle_proxy,64.41
2026-01-27,2026-01-26,strangle,trading,694.18,695.49,695.54,0.1615,1.0,1.0,149.7,147.1,16.15,15.05,13451.3,688,-0.1854,0.7192,0.6892,0.0,cash_settle_proxy,67.62,700,0.2105,0.8379,0.8079,0.0,cash_settle_proxy,79.49
