date,status,reason,expected_bars,actual_bars,close_gap,missing_high,missing_low
2024-01-02,included,,7,7,0.05,0.0,0.0
2024-01-03,included,,7,7,0.06,0.0,0.0
2024-01-04,included,,7,7,0.01,0.0,0.0
2024-01-05,included,,7,7,0.04,0.0,0.0
2024-01-08,included,,7,7,0.04,0.0,0.0
2024-01-09,included,,7,7,0.03,0.0,0.0
2024-01-10,included,,7,7,0.04,0.0019,0.0
2024-01-11,included,,7,7,0.02,0.0,0.0
2024-01-12,included,,7,7,0.02,0.0,0.0
2024-01-16,included,,7,7,0.01,0.0002,0.0499
2024-01-17,included,,7,7,0.01,0.0,0.0
2024-01-18,included,,7,7,0.02,0.0,0.0
2024-01-19,included,,7,7,0.02,0.17,0.4
2024-01-22,included,,7,7,0.0602,0.0,0.0
2024-01-23,included,,7,7,0.02,0.005,0.0
2024-01-24,included,,7,7,0.03,0.0,0.13
2024-01-25,included,,7,7,0.03,0.005,0.1
2024-01-26,included,,7,7,0.05,0.0,0.0
2024-01-29,included,,7,7,0.01,0.005,0.0
2024-01-30,included,,7,7,0.03,0.0,0.02
2024-01-31,included,,7,7,0.04,0.0,0.04
2024-02-01,included,,7,7,0.03,0.0,0.0
2024-02-02,included,,7,7,0.08,0.0,0.0
2024-02-05,included,,7,7,0.03,0.21,0.0
2024-02-06,included,,7,7,0.01,0.0,0.0
2024-02-07,included,,7,7,0.05,0.0,0.0
2024-02-08,included,,7,7,0.08,0.0,0.0
2024-02-09,included,,7,7,0.02,0.0,0.0
2024-02-12,included,,7,7,0.03,0.0,0.0
2024-02-13,included,,7,7,0.06,1.24,0.0
2024-02-14,included,,7,7,0.055,0.0,0.0
2024-02-15,included,,7,7,0.06,0.0,0.0
2024-02-16,included,,7,7,0.02,0.0,0.0
2024-02-20,included,,7,7,0.025,0.0,0.0
2024-02-21,included,,7,7,0.02,0.0,0.0
2024-02-22,included,,7,7,0.03,0.0,0.0
2024-02-23,included,,7,7,0.03,0.0,0.0
2024-02-26,included,,7,7,0.0,0.0,0.0
2024-02-27,included,,7,7,0.03,0.0,0.0
2024-02-28,included,,7,7,0.07,0.005,0.0
2024-02-29,included,,7,7,0.08,0.0,0.0
2024-03-01,included,,7,7,0.0,0.0,0.0
2024-03-04,included,,7,7,0.05,0.0,0.0
2024-03-05,included,,7,7,0.04,0.0,0.0
2024-03-06,included,,7,7,0.06,0.001,0.0
2024-03-07,included,,7,7,0.05,0.0,2.37
