variant,period,trades,pnl,ret_pct,wr,pf,maxdd,pnl_over_dd,avg_win,avg_loss
baseline,2024,245,8816.8,35.27,92.2,3.76,-451.14,19.54,53.17,-168.43
baseline,2025,227,13595.99,54.38,95.6,7.06,-484.25,28.08,73.0,-224.39
baseline,reused_2026,147,9355.2,37.42,93.2,5.13,-563.23,16.61,84.82,-226.58
calendar_clock,2024,245,-9846.88,-39.39,49.0,0.21,-9903.54,-0.99,21.19,-99.12
calendar_clock,2025,227,-10143.99,-40.58,49.8,0.23,-10228.04,-0.99,27.52,-116.27
calendar_clock,reused_2026,147,-7767.12,-31.07,49.0,0.24,-8028.97,-0.97,34.68,-136.86
slippage_0.10,2024,245,5723.12,22.89,87.8,2.32,-472.14,12.12,46.71,-143.98
slippage_0.10,2025,227,10956.59,43.83,93.4,4.65,-548.97,19.96,65.83,-199.89
slippage_0.10,reused_2026,147,7142.19,28.57,89.8,3.28,-584.23,12.22,77.89,-209.29
slippage_0.20,2024,245,-412.38,-1.65,74.7,0.94,-3041.56,-0.14,38.21,-119.45
slippage_0.20,2025,227,5998.24,23.99,87.2,2.19,-1370.26,4.38,55.84,-174.41
slippage_0.20,reused_2026,147,4460.92,17.84,86.4,2.07,-614.23,7.26,68.03,-208.94
commission_1.30,2024,245,8498.3,33.99,92.2,3.64,-453.74,18.73,51.87,-169.73
commission_1.30,2025,227,13300.89,53.2,95.6,6.89,-486.85,27.32,71.7,-225.69
commission_1.30,reused_2026,147,9164.1,36.66,93.2,5.02,-565.83,16.2,83.52,-227.88
credit_haircut_0.85,2024,245,5323.7,21.29,86.9,2.26,-476.02,11.18,44.79,-131.77
credit_haircut_0.85,2025,227,9775.01,39.1,92.5,4.19,-585.49,16.7,61.16,-180.45
credit_haircut_0.85,reused_2026,147,5711.26,22.85,87.8,2.62,-597.43,9.56,71.63,-196.05
exit_iv_1.25,2024,245,3592.18,14.37,80.8,1.51,-759.88,4.73,53.6,-149.37
exit_iv_1.25,2025,227,5187.93,20.75,81.1,1.64,-1794.91,2.89,72.52,-189.67
exit_iv_1.25,reused_2026,147,3034.9,12.14,78.2,1.45,-1038.79,2.92,85.34,-211.85
combined_adverse,2024,116,-15465.12,-61.86,0.0,0.0,-15465.11,-1.0,0.0,-133.32
combined_adverse,2025,70,-14312.05,-57.25,0.0,0.0,-14312.04,-1.0,0.0,-204.46
combined_adverse,reused_2026,51,-12226.25,-48.91,0.0,0.0,-12226.26,-1.0,0.0,-239.73
