variant,period,trades,pnl,ret_pct,wr,pf,maxdd,pnl_over_dd,avg_win,avg_loss
baseline,2024,248,8320.92,33.28,91.1,3.25,-636.22,13.08,53.17,-168.0
baseline,2025,230,13430.33,53.72,94.8,6.47,-484.25,27.73,72.87,-204.67
baseline,reused_2026,147,9355.2,37.42,93.2,5.13,-563.23,16.61,84.82,-226.58
calendar_clock,2024,248,-10588.27,-42.35,48.4,0.19,-10644.94,-0.99,21.19,-102.59
calendar_clock,2025,230,-10601.21,-42.4,49.1,0.23,-10685.26,-0.99,27.52,-117.19
calendar_clock,reused_2026,147,-7767.12,-31.07,49.0,0.24,-8028.97,-0.97,34.68,-136.86
slippage_0.10,2024,248,5185.24,20.74,86.7,2.07,-678.22,7.65,46.71,-147.19
slippage_0.10,2025,230,10755.93,43.02,92.6,4.32,-548.97,19.59,65.7,-190.5
slippage_0.10,reused_2026,147,7142.19,28.57,89.8,3.28,-584.23,12.22,77.89,-209.29
slippage_0.20,2024,248,-1010.26,-4.04,73.8,0.87,-3212.67,-0.31,38.21,-123.13
slippage_0.20,2025,230,5606.02,22.42,86.1,2.03,-1370.26,4.09,55.84,-170.32
slippage_0.20,reused_2026,147,4460.92,17.84,86.4,2.07,-614.23,7.26,68.03,-208.94
commission_1.30,2024,248,7998.52,31.99,91.1,3.15,-641.42,12.47,51.87,-169.3
commission_1.30,2025,230,13131.33,52.53,94.8,6.31,-486.85,26.97,71.57,-205.97
commission_1.30,reused_2026,147,9164.1,36.66,93.2,5.02,-565.83,16.2,83.52,-227.88
credit_haircut_0.85,2024,248,4807.44,19.23,85.9,2.02,-547.5,8.78,44.79,-135.23
credit_haircut_0.85,2025,230,9463.63,37.85,91.3,3.8,-585.49,16.16,61.16,-168.95
credit_haircut_0.85,reused_2026,147,5711.26,22.85,87.8,2.62,-597.43,9.56,71.63,-196.05
exit_iv_1.25,2024,248,2982.74,11.93,79.8,1.39,-926.62,3.22,53.6,-152.6
exit_iv_1.25,2025,230,4755.96,19.02,80.0,1.55,-1794.91,2.65,72.52,-186.69
exit_iv_1.25,reused_2026,147,3034.9,12.14,78.2,1.45,-1038.79,2.92,85.34,-211.85
combined_adverse,2024,116,-15465.12,-61.86,0.0,0.0,-15465.11,-1.0,0.0,-133.32
combined_adverse,2025,70,-14312.05,-57.25,0.0,0.0,-14312.04,-1.0,0.0,-204.46
combined_adverse,reused_2026,51,-12226.25,-48.91,0.0,0.0,-12226.26,-1.0,0.0,-239.73
