date,structure,S_open,S_close,iv,gross_credit,pnl,vix_prev,put_strike,put_credit,put_exit,put_reason,put_pnl,call_strike,call_credit,call_exit,call_reason,call_pnl
2026-01-02,strangle,685.71,683.17,0.1495,291.41,105.81,14.95,685,2.17,1.83,expire,32.77,691,0.74,0.0,expire,73.04
2026-01-05,strangle,687.3,687.72,0.1451,245.95,243.35,14.51,686,1.85,0.0,expire,183.35,693,0.61,0.0,expire,60.0
2026-01-06,strangle,688.46,691.81,0.149,254.31,251.71,14.9,687,1.85,0.0,expire,183.64,694,0.69,0.0,expire,68.07
2026-01-07,strangle,692.19,689.58,0.1475,258.3,113.71,14.75,691,1.95,1.42,expire,51.67,698,0.63,0.0,expire,62.04
2026-01-08,strangle,688.82,689.51,0.1538,283.67,281.07,15.38,688,2.21,0.0,expire,219.33,695,0.63,0.0,expire,61.74
2026-01-09,strangle,690.5,694.07,0.1545,314.69,312.09,15.45,690,2.37,0.0,expire,235.83,696,0.78,0.0,expire,76.26
2026-01-12,strangle,691.33,695.16,0.1449,247.05,244.45,14.49,690,1.84,0.0,expire,183.08,697,0.63,0.0,expire,61.37
2026-01-13,strangle,695.49,693.77,0.1512,264.57,238.97,15.12,694,1.9,0.23,expire,165.68,701,0.75,0.0,expire,73.29
2026-01-14,strangle,691.0,690.36,0.1598,297.88,295.28,15.98,690,2.24,0.0,expire,222.46,697,0.74,0.0,expire,72.82
2026-01-15,strangle,694.57,692.24,0.1675,334.12,155.52,16.75,694,2.58,1.76,expire,80.71,701,0.76,0.0,expire,74.81
2026-01-16,strangle,693.66,691.66,0.1584,304.42,167.82,15.84,693,2.38,1.34,expire,102.38,700,0.67,0.0,expire,65.43
2026-01-20,strangle,681.49,677.58,0.1586,277.09,32.49,15.86,680,1.97,2.42,expire,-46.11,687,0.8,0.0,expire,78.61
2026-01-21,strangle,680.29,685.4,0.2009,363.05,360.45,20.09,679,2.76,0.0,expire,274.85,688,0.87,0.0,expire,85.6
2026-01-22,strangle,689.85,688.98,0.169,327.87,323.27,16.9,689,2.46,0.02,expire,242.48,696,0.82,0.0,expire,80.79
2026-01-23,strangle,688.15,689.23,0.1564,282.47,279.87,15.64,687,2.1,0.0,expire,209.02,694,0.72,0.0,expire,70.85
2026-01-26,strangle,690.49,692.73,0.1609,270.23,267.63,16.09,689,2.05,0.0,expire,203.22,697,0.66,0.0,expire,64.41
2026-01-27,strangle,694.18,695.49,0.1615,300.87,298.27,16.15,693,2.2,0.0,expire,218.78,700,0.81,0.0,expire,79.49
2026-01-28,strangle,697.05,695.42,0.1635,311.8,251.2,16.35,696,2.3,0.58,expire,171.03,703,0.81,0.0,expire,80.17
2026-01-29,strangle,696.39,694.04,0.1635,283.96,-391.76,16.35,695,2.15,6.73,stop,-458.97,703,0.69,0.0,expire,67.22
2026-01-30,strangle,691.79,691.97,0.1688,330.18,327.58,16.88,691,2.49,0.0,expire,247.67,698,0.81,0.0,expire,79.91
2026-02-02,strangle,689.58,695.41,0.1744,350.6,77.52,17.44,689,2.67,0.0,expire,266.08,696,0.83,2.7,stop,-188.56
2026-02-03,strangle,696.64,689.53,0.1634,321.54,-437.82,16.34,696,2.48,7.57,stop,-509.65,703,0.73,0.0,expire,71.83
2026-02-04,strangle,690.35,686.19,0.18,328.54,-412.35,18.0,689,2.43,7.38,stop,-496.79,697,0.86,0.0,expire,84.44
2026-02-09,strangle,689.42,693.95,0.2037,375.71,373.11,20.37,688,2.8,0.0,expire,278.45,697,0.96,0.0,expire,94.66
